,participant,trial no.,actual control,angular bias,response,group,dim
0,K-Reg-H-10,1,0.3,0,0,H,0.26468886697237504
1,K-Reg-H-10,2,0.8,0,1,H,0.1957161389202391
2,K-Reg-H-10,3,0.3,0,0,H,0.23989383604087844
3,K-Reg-H-10,4,0.55,90,0,H,0.2375507036152407
4,K-Reg-H-10,5,0.3,90,0,H,0.2499054579238855
5,K-Reg-H-10,6,0.55,0,1,H,0.18982912930804338
6,K-Reg-H-10,7,0.3,90,0,H,0.27199120186936715
7,K-Reg-H-10,8,0.8,0,1,H,0.23290636485763802
8,K-Reg-H-10,9,0.55,90,0,H,0.3969385339949887
9,K-Reg-H-10,10,0.3,90,0,H,0.24197369855169987
10,K-Reg-H-10,11,0.8,90,0,H,0.2725644840627337
11,K-Reg-H-10,12,0.8,90,0,H,0.545247194089189
12,K-Reg-H-10,13,0.3,0,0,H,0.2227951115921246
13,K-Reg-H-10,14,0.3,0,0,H,0.2825287171245767
14,K-Reg-H-10,15,0.8,0,1,H,0.2486692571434993
15,K-Reg-H-10,16,0.55,90,0,H,0.2785694417522916
16,K-Reg-H-10,17,0.8,90,0,H,0.4810677159756181
17,K-Reg-H-10,18,0.8,0,1,H,0.2692188776071109
18,K-Reg-H-10,19,0.55,90,0,H,0.31705969055945005
19,K-Reg-H-10,20,0.8,90,0,H,0.38197049838088865
20,K-Reg-H-10,21,0.3,0,0,H,0.26221438310669665
21,K-Reg-H-10,22,0.55,0,1,H,0.25447268769924597
22,K-Reg-H-10,23,0.55,0,1,H,0.22007237524611567
23,K-Reg-H-10,24,0.3,0,0,H,0.2424398511484279
24,K-Reg-H-10,25,0.8,0,1,H,0.20826330066524237
25,K-Reg-H-10,26,0.8,0,1,H,0.1955609058469881
26,K-Reg-H-10,27,0.3,0,0,H,0.16208646450399425
27,K-Reg-H-10,28,0.55,0,1,H,0.21066407771704135
28,K-Reg-H-10,29,0.55,90,0,H,0.26876724534096663
29,K-Reg-H-10,30,0.3,90,0,H,0.34295806928921413
30,K-Reg-H-10,31,0.3,90,0,H,0.21480472233380238
31,K-Reg-H-10,32,0.55,0,1,H,0.21434176730349616
32,K-Reg-H-10,33,0.3,90,0,H,0.29870801458420065
33,K-Reg-H-10,34,0.55,90,0,H,0.2813202586059487
34,K-Reg-H-10,35,0.8,90,0,H,0.36717907402350886
35,K-Reg-H-10,36,0.8,90,0,H,0.22743967726767472
36,K-Reg-H-10,37,0.55,90,0,H,0.2687336768473199
37,K-Reg-H-10,38,0.3,0,0,H,0.18875265879199607
38,K-Reg-H-10,39,0.3,90,0,H,0.27866708142551344
39,K-Reg-H-10,40,0.8,90,0,H,0.278924480402146
40,K-Reg-H-10,41,0.8,90,0,H,0.3153639581681022
41,K-Reg-H-10,42,0.55,90,0,H,0.3447098811117984
42,K-Reg-H-10,43,0.3,90,0,H,0.28815411309615113
43,K-Reg-H-10,44,0.3,90,0,H,0.2608304088915017
44,K-Reg-H-10,45,0.55,0,1,H,0.21512634795261507
45,K-Reg-H-10,46,0.8,0,1,H,0.23259558053756182
46,K-Reg-H-10,47,0.55,90,0,H,0.2479738474979164
47,K-Reg-H-10,48,0.8,0,1,H,0.19496582974960738
48,K-Reg-H-10,49,0.55,0,1,H,0.21736397136474256
49,K-Reg-H-10,50,0.3,0,1,H,0.2806819694568016
50,K-Reg-H-10,51,0.55,90,0,H,0.265263103918036
51,K-Reg-H-10,52,0.8,0,1,H,0.2555361734147067
52,K-Reg-H-10,53,0.3,0,0,H,0.24166420053539855
53,K-Reg-H-10,54,0.55,0,1,H,0.22378861342104112
