group,participant,H,H,H,H,H,H,S,S,S,S,S,S
actual control,,0.3,0.3,0.55,0.55,0.8,0.8,0.3,0.3,0.55,0.55,0.8,0.8
angular bias,,0,90,0,90,0,90,0,90,0,90,0,90
0,K-Reg-H-10,0.23877460592732697,0.2657180991689401,0.22030221589050059,0.29068863832439573,0.22998193531588687,0.3637666810357795,,,,,,
1,K-Reg-H-11,0.3032841402611715,0.3192225855318286,0.2579825055708739,0.30519814809854673,0.24557965452368177,0.3261007567411519,,,,,,
2,K-Reg-H-12,0.23517181786661984,0.24957960888172853,0.24703665057837107,0.24659664830694278,0.23834303285392852,0.28790740192608744,,,,,,
3,K-Reg-H-13,0.27915271775572525,0.27515056984296404,0.2378475230092701,0.22883360704903763,0.2721409755839298,0.246305589022458,,,,,,
4,K-Reg-H-14,0.2741456006720822,0.2473340130788592,0.26083227025287437,0.27868790166362983,0.2653152604811779,0.27578941738256363,,,,,,
5,K-Reg-H-15,0.33157323869215455,0.2857155487752755,0.2647655087124025,0.3074771373866398,0.2655375913207689,0.28477047467215044,,,,,,
6,K-Reg-H-16,0.39773037303190006,0.3817749249241681,0.2962343872164201,0.32634190245680994,0.2839885436559348,0.3405108262655738,,,,,,
7,K-Reg-H-17,0.2437804874737232,0.27030262637522073,0.2090999517518421,0.22160952861565172,0.19276037775393437,0.22245314321574367,,,,,,
8,K-Reg-H-18,0.27970414306497926,0.29074981957470153,0.30314049818671646,0.29410747709029517,0.321336967601119,0.28583736528592224,,,,,,
9,K-Reg-H-19,0.2758484362810029,0.3050569713291843,0.2578630727838621,0.26578134270753784,0.241978864723763,0.3171026840906163,,,,,,
10,K-Reg-H-20,0.2701446593677454,0.27264739912030567,0.24628874657665692,0.27481509758508216,0.29163967889936876,0.2592751978341414,,,,,,
11,K-Reg-H-21,0.22537977600592468,0.21940836512013312,0.2128063653360499,0.2291312445128299,0.2282340142120824,0.24601376534208902,,,,,,
12,K-Reg-H-22,0.3029350438098043,0.2972377494392296,0.29926826066382717,0.27290469388602356,0.2938526646955027,0.2778421814605446,,,,,,
13,K-Reg-H-23,0.331823396497532,0.30600113412164187,0.24406905615909452,0.27339245571675214,0.26117332944134325,0.2609832957683466,,,,,,
14,K-Reg-H-24,0.2665766648572193,0.2768085118030262,0.2571979131211941,0.2752467690851566,0.25551821131463676,0.26763989680447114,,,,,,
15,K-Reg-H-25,0.21245126690557453,0.24606947371676316,0.2400838087864164,0.2381327785435466,0.22749096280207065,0.2723435854977429,,,,,,
16,K-Reg-H-26,0.251716686258605,0.24511900340510212,0.21665378676894315,0.24607953916230213,0.2022798900475707,0.24943753062610546,,,,,,
17,K-Reg-H-27,0.2241993200969657,0.24239437170947867,0.23135201248336532,0.2308964809167346,0.22352700613708448,0.20390466296520876,,,,,,
18,K-Reg-H-3,0.31210917294130797,0.2843178867284992,0.35582344790758114,0.3030702871473244,0.3805997456354965,0.33568513629134983,,,,,,
19,K-Reg-H-4,0.2913935017819398,0.29078734580564897,0.30175124793777247,0.30687569274292104,0.34957949518418263,0.2814098211871727,,,,,,
